"survey_year","income_year","a","p","b","n_targets","mean_model","median_model","gini_model","gini_elstat","p99_model","share_below_mean_model","share_q1_model","share_q5_model","mean_real","median_real","median_elstat","mean_err_pct","median_err_pct"
2015,2014,3.53681121157571,0.527483055976887,10010.4681839042,8,8722.99131071732,7542.6987578906,0.341038257211247,0.342,30591.7552193462,0.600782844168133,0.0634462261835919,0.405818628204413,8683,7520,7520,0.460570202894428,0.301845184715477
2016,2015,3.52109332014393,0.529911051084029,10036.2762597028,8,8767.03080875404,7570.2964654222,0.341876526128148,0.343,30864.5620895239,0.601505351707581,0.0633091377652015,0.40655711353291,8673,7500,7500,1.08417858588772,0.937286205629362
2017,2016,3.53589984233996,0.569458145269638,9825.40111774434,8,8872.07641626835,7690.7077920407,0.332376393574274,0.334,30698.4419131264,0.602485113215217,0.0670694324071056,0.400984511959266,8800,7600,7600,0.819050184867631,1.19352357948295
2018,2017,3.48724308239986,0.655335453772625,9454.16646117941,8,9110.17065382457,7889.02693786817,0.321842538651809,0.323,31255.7499875724,0.607767409536366,0.072275457588806,0.396025550372663,9034,7863,7863,0.843155344526947,0.331005187182609
2019,2018,3.67506466020021,0.635118349232859,9949.71657175224,8,9394.53727088205,8263.91556658383,0.309376509258221,0.31,30679.2819597523,0.600035963225413,0.0752031469795763,0.386147904805922,9382,8195,8195,0.1336311115119,0.840946511090035
2020,2019,3.59650382310575,0.653174047644167,10519.6842085816,8,10079.599611046,8813.40756339862,0.312933364635411,0.314,33506.6490902713,0.603585585549037,0.074667846027052,0.389330336711471,10041,8781,8781,0.384419988506979,0.369064609937619
2021,2020,3.709236892507,0.548806462739466,11288.8703403135,8,9988.67616917953,8783.97240558563,0.322117689474216,0.324,33107.8888759457,0.5951374202154,0.0692022652182187,0.392525852910558,9952,8752,8752,0.368530638861886,0.36531542031113
2022,2021,3.59954480896481,0.649537308868084,11391.011479091,8,10886.894829838,9520.80974716304,0.31323406957526,0.314,36189.8407489316,0.603328508887165,0.0744931682052161,0.389442186998392,10832,9520,9520,0.506783879597328,0.00850574751092292
2023,2022,3.47638200328499,0.720133162556054,11458.6459351788,17,11512.6788275507,9976.91130756551,0.313772026263857,0.318,39077.6170203597,0.610611887477143,0.0759994649631449,0.391843685506411,11546,10050,10050,-0.288594945862541,-0.727250670989987
2024,2023,3.49812029745037,0.70573279024538,12325.362068416,17,12262.5734389451,10644.2415534462,0.313770876589099,0.318,41472.2907197089,0.609260639762807,0.0756809158364432,0.391458552769825,12391,10850,10615,-1.03645033536336,-1.89639121247778
2025,2024,3.51593479621357,0.71389692939049,13252.6029103269,17,13239.2141848205,11512.3634001912,0.311188671762764,0.316,44465.2108390622,0.608897514729282,0.0765766264671897,0.389758677582357,13381,11700,11697,-1.05960552409784,-1.60373162229744
