"target","kind","source","p","observed","fitted","rel_err_pct","survey_year"
"Q20","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,7110,7203.14016558618,1.30998826422188,2025
"Q25","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,8149,7971.91097797372,-2.1731380786143,2025
"Q40","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,10269,10088.6971677895,-1.75579737277731,2025
"Q50","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,11697,11512.3634001912,-1.57849533905104,2025
"Q60","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,13184,13086.649681499,-0.73839744008628,2025
"Q75","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,15900,16175.0372163826,1.72979381372695,2025
"Q80","cutoff","ΕΛΣΤΑΤ (στόχος του fit)",NA,17056,17625.4587162956,3.33875889010056,2025
"quartile 1 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,10.5,10.5250908788313,0.238960750774142,2025
"quartile 2 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,18.6,18.3965928063591,-1.09358706258532,2025
"quartile 3 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,25.5,25.7304233824087,0.90362110748492,2025
"quartile 4 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,45.5,45.3478929324009,-0.33430124747047,2025
"quintile 1 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,7.6,7.65766264671897,0.758719035775979,2025
"quintile 2 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,13.2,13.111462321043,-0.670739992098268,2025
"quintile 3 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,17.5,17.4287834608615,-0.406951652220189,2025
"quintile 4 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,22.3,22.8262238131408,2.35974804099017,2025
"quintile 5 share %","share","ΕΛΣΤΑΤ (στόχος του fit)",NA,39.3,38.9758677582357,-0.824763973954912,2025
"Gini %","gini","ΕΛΣΤΑΤ (στόχος του fit)",NA,31.6,31.1188671762764,-1.52257222697346,2025
"P1","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.01,1700,2116.84204251102,24.5201201477072,2025
"P2","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.02,2761,2792.16411194559,1.12872553225596,2025
"P3","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.03,3274,3284.67618100082,0.326089828980547,2025
"P4","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.04,3780,3687.43123071062,-2.44890924045981,2025
"P5","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.05,4190,4034.95701645591,-3.70030986978742,2025
"D1","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.1,5537,5356.81034063007,-3.25428317446145,2025
"D3","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.3,8916,8695.17858032046,-2.47668707581361,2025
"D7","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.7,14818,14992.5604059156,1.17802946359555,2025
"D9","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.9,20796,22357.0538870331,7.50651032425982,2025
"P95","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.95,26476,27739.0757450274,4.77064414952193,2025
"P96","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.96,29280,29662.8217192936,1.30745122709575,2025
"P97","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.97,32624,32306.3311941519,-0.973727335238084,2025
"P98","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.98,36933,36382.6849014784,-1.49003627791291,2025
"P99","out_of_sample","Eurostat ilc_di01 (εκτός fit)",0.99,49279,44465.2108390622,-9.76843921536108,2025
"mean","out_of_sample","Eurostat ilc_di03 (εκτός fit)",NA,13381,13239.2141848205,-1.05960552409784,2025
"median","same_as_target","Eurostat ilc_di03 (ίδιο μέγεθος με στόχο της ΕΛΣΤΑΤ)",0.5,11700,11512.3634001912,-1.60373162229744,2025
