"survey_year","income_year","code","name_el","article","is_greece","is_eu27","gini","gini_rank","n_gini","s80s20","s80s20_rank","n_s80s20","half_top_pop","half_lo_pop","half_lo_share","half_hi_pop","half_hi_share","lorenz_basis","mean_gap_share"
2025,2024,"BG","Βουλγαρία","η",FALSE,FALSE,37.7,1,27,6.94,1,27,0.246230078589834,0.2,0.444555444555445,0.3,0.564435564435564,"deciles",0.754
2025,2024,"LV","Λετονία","η",FALSE,FALSE,35.6,2,27,6.68,2,27,0.264285714285714,0.2,0.419,0.3,0.545,"deciles",0.712
2025,2024,"LT","Λιθουανία","η",FALSE,FALSE,35.5,3,27,6.54,3,27,0.2636,0.2,0.420579420579421,0.3,0.545454545454546,"deciles",0.71
2025,2024,"EL","Ελλάδα","η",TRUE,FALSE,31.6,4,27,5.17,5,27,0.289495798319328,0.2,0.393393393393393,0.3,0.512512512512513,"deciles",0.632
2025,2024,"CY","Κύπρος","η",FALSE,FALSE,31.2,5,27,4.6,13,27,0.287931034482759,0.2,0.398203592814371,0.3,0.513972055888224,"deciles",0.624
2025,2024,"IT","Ιταλία","η",FALSE,FALSE,31,6,27,5.13,6,27,0.292622950819672,0.2,0.387,0.3,0.509,"deciles",0.62
2025,2024,"EE","Εσθονία","η",FALSE,FALSE,30.9,7,27,5.07,7,27,0.290565159009188,0.2,0.385,0.3,0.512,"deciles",0.618
2025,2024,"PT","Πορτογαλία","η",FALSE,FALSE,30.9,7,27,4.86,8,27,0.287916666666667,0.2,0.394394394394394,0.3,0.514514514514515,"deciles",0.618
2025,2024,"ES","Ισπανία","η",FALSE,FALSE,30.8,9,27,5.24,4,27,0.292913500458954,0.2,0.382,0.3,0.509,"deciles",0.616
2025,2024,"LU","Λουξεμβούργο","το",FALSE,FALSE,30.5,10,27,4.6,13,27,0.289639037528695,0.2,0.391391391391391,0.3,0.512512512512513,"deciles",0.61
2025,2024,"FR","Γαλλία","η",FALSE,FALSE,30.4,11,27,4.74,10,27,0.294491525423729,0.2,0.388388388388388,0.3,0.506506506506507,"deciles",0.608
2025,2024,"DE","Γερμανία","η",FALSE,FALSE,30.1,12,27,4.68,11,27,0.295454545454545,0.2,0.384615384615385,0.3,0.505494505494505,"deciles",0.602
2025,2024,"HU","Ουγγαρία","η",FALSE,FALSE,29.5,13,27,4.68,11,27,0.298688013899723,0.2,0.387612387612388,0.3,0.501498501498502,"deciles",0.59
2025,2024,"MT","Μάλτα","η",FALSE,FALSE,29.2,14,27,4.49,16,27,0.301377705455269,0.3,0.498501498501498,0.4,0.606393606393607,"deciles",0.584
2025,2024,"SE","Σουηδία","η",FALSE,FALSE,28.6,15,27,4.58,15,27,0.310978740900595,0.3,0.488023952095808,0.4,0.596806387225549,"deciles",0.572
2025,2024,"HR","Κροατία","η",FALSE,FALSE,28.5,16,27,4.78,9,27,0.311792900118654,0.3,0.487025948103792,0.4,0.596806387225549,"deciles",0.57
2025,2024,"DK","Δανία","η",FALSE,FALSE,28.2,17,27,4.12,19,27,0.309214824170063,0.3,0.49049049049049,0.4,0.593593593593594,"deciles",0.564
2025,2024,"AT","Αυστρία","η",FALSE,FALSE,27.4,18,27,4.25,18,27,0.318247978298009,0.3,0.48048048048048,0.4,0.587587587587588,"deciles",0.548
2025,2024,"RO","Ρουμανία","η",FALSE,FALSE,27.3,19,27,4.37,17,27,0.318481490440597,0.3,0.479479479479479,0.4,0.590590590590591,"deciles",0.546
2025,2024,"IE","Ιρλανδία","η",FALSE,FALSE,27.2,20,27,3.89,21,27,0.314634545195199,0.3,0.484515484515485,0.4,0.590409590409591,"deciles",0.544
2025,2024,"FI","Φινλανδία","η",FALSE,FALSE,27.1,21,27,3.93,20,27,0.309090909090909,0.3,0.49,0.4,0.6,"deciles",0.542
2025,2024,"NL","Ολλανδία","η",FALSE,FALSE,25.9,22,27,3.76,22,27,0.327110251646425,0.3,0.471,0.4,0.578,"deciles",0.518
2025,2024,"PL","Πολωνία","η",FALSE,FALSE,24.9,23,27,3.63,23,27,0.332436332908126,0.3,0.465069860279441,0.4,0.572854291417166,"deciles",0.498
2025,2024,"SI","Σλοβενία","η",FALSE,FALSE,24.6,24,27,3.55,24,27,0.333473930809609,0.3,0.463536463536463,0.4,0.572427572427572,"deciles",0.492
2025,2024,"CZ","Τσεχία","η",FALSE,FALSE,24,25,27,3.34,25,27,0.335241654372265,0.3,0.463,0.4,0.568,"deciles",0.48
2025,2024,"BE","Βέλγιο","το",FALSE,FALSE,23.4,26,27,3.25,27,27,0.341203703703704,0.3,0.455455455455455,0.4,0.563563563563564,"deciles",0.468
2025,2024,"SK","Σλοβακία","η",FALSE,FALSE,23,27,27,3.27,26,27,0.344036697247706,0.3,0.452,0.4,0.561,"deciles",0.46
2025,2024,"EU27_2020","ΕΕ-27","η",FALSE,TRUE,29.2,NA,27,4.62,NA,27,0.301415175953328,0.3,0.498498498498498,0.4,0.604604604604605,"deciles",0.584
