"survey_year","gini_greece","s80s20_greece","gini_rank_greece","n_gini","gini_eu27","s80s20_eu27","gini_min","gini_max","income_year","gini_gap"
2015,34.2,6.51,7,27,30.8,5.22,23.7,37.9,2014,3.4
2016,34.3,6.55,6,27,30.6,5.16,24.3,37.7,2015,3.7
2017,33.4,6.11,6,27,30.3,5.03,23.2,40.2,2016,3.1
2018,32.3,5.51,7,27,30.4,5.05,20.9,39.6,2017,1.9
2019,31,5.11,10,27,30.1,4.99,22.8,40.8,2018,0.899999999999999
2020,31.4,5.23,7,27,30,4.89,20.9,40,2019,1.4
2021,32.4,5.79,8,27,30.2,4.98,21.8,39.7,2020,2.2
2022,31.4,5.2,9,27,29.6,4.74,21.2,38.4,2021,1.8
2023,31.8,5.28,6,27,29.6,4.72,21.6,37.2,2022,2.2
2024,31.8,5.27,6,27,29.4,4.66,21.7,38.4,2023,2.4
2025,31.6,5.17,4,27,29.2,4.62,23,37.7,2024,2.4
