"survey_year","hhcomp","label","target","observed","fitted","rel_err_pct","p"
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P05.4 ilc_li03 <40% MED_EI",4680,4647.86940092961,-0.686551262187751,0.054
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P07.4 ilc_li03 <40% MEAN_EI",5352.4,5398.70548372977,0.86513496244236,0.074
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P08.4 ilc_li03 <50% MED_EI",5850,5735.01615693431,-1.96553577890075,0.084
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P11.4 ilc_li03 <50% MEAN_EI",6690.5,6638.57830240496,-0.776051081309936,0.114
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P13.5 ilc_li03 <60% MED_EI",7020,7203.25719233429,2.61050131530332,0.135
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P17.2 ilc_li03 <60% MEAN_EI",8028.6,8106.92681196313,0.975597388873917,0.172
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P17.7 ilc_li03 <70% MED_EI",8190,8222.11592811679,0.39213587444189,0.177
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","P50.0 ilc_di04 median",14761,14458.6951862491,-2.04799684134507,0.5
2025,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά","mean",16115,16231.7197100981,0.724292336941512,NA
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P06.5 ilc_li03 <40% MED_EI",4680,4623.55892596754,-1.20600585539454,0.065
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P08.9 ilc_li03 <40% MEAN_EI",5352.4,5343.19249431082,-0.172025739652915,0.089
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P11.5 ilc_li03 <50% MED_EI",5850,6019.38474180794,2.89546567193057,0.115
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P14.9 ilc_li03 <50% MEAN_EI",6690.5,6801.31015199897,1.65623125325418,0.149
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P16.3 ilc_li03 <60% MED_EI",7020,7099.46531511345,1.1319845457757,0.163
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P20.2 ilc_li03 <60% MEAN_EI",8028.6,7878.41267449604,-1.87065398081806,0.202
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P20.4 ilc_li03 <70% MED_EI",8190,7916.69602769271,-3.33704483891679,0.204
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","P50.0 ilc_di04 median",12853,13025.8077538744,1.34449353360597,0.5
2025,"A2_DCH1","Ζευγάρι με 1 παιδί","mean",15091,15047.2584497844,-0.28985189991102,NA
