"survey_year","income_year","hhcomp","label","median","mean"
1995,1994,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",4289,5487
1995,1994,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",5925,7490
1995,1994,"A2_DCH1","Ζευγάρι με 1 παιδί",6610,7463
1995,1994,"TOTAL","Όλος ο πληθυσμός",5208,6180
1996,1995,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",4746,6108
1996,1995,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",6188,7303
1996,1995,"A2_DCH1","Ζευγάρι με 1 παιδί",6924,8004
1996,1995,"TOTAL","Όλος ο πληθυσμός",5466,6479
1997,1996,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",5040,6544
1997,1996,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",6807,8078
1997,1996,"A2_DCH1","Ζευγάρι με 1 παιδί",7127,8373
1997,1996,"TOTAL","Όλος ο πληθυσμός",5891,7066
1998,1997,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",5043,6825
1998,1997,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",7407,8943
1998,1997,"A2_DCH1","Ζευγάρι με 1 παιδί",7431,9318
1998,1997,"TOTAL","Όλος ο πληθυσμός",6412,7779
1999,1998,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",5080,6925
1999,1998,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",7458,8824
1999,1998,"A2_DCH1","Ζευγάρι με 1 παιδί",7828,9094
1999,1998,"TOTAL","Όλος ο πληθυσμός",6350,7601
2000,1999,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",5758,7834
2000,1999,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",7448,8919
2000,1999,"A2_DCH1","Ζευγάρι με 1 παιδί",8635,9611
2000,1999,"TOTAL","Όλος ο πληθυσμός",6923,8119
2001,2000,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",5804,7514
2001,2000,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",7742,9475
2001,2000,"A2_DCH1","Ζευγάρι με 1 παιδί",8646,9871
2001,2000,"TOTAL","Όλος ο πληθυσμός",7107,8262
2003,2002,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7000,8740
2003,2002,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",9653,11513
2003,2002,"A2_DCH1","Ζευγάρι με 1 παιδί",9800,11967
2003,2002,"TOTAL","Όλος ο πληθυσμός",8207,9671
2004,2003,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",7430,8803
2004,2003,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",9800,11684
2004,2003,"A2_DCH1","Ζευγάρι με 1 παιδί",10253,11525
2004,2003,"TOTAL","Όλος ο πληθυσμός",8857,10205
2005,2004,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8150,9655
2005,2004,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",10633,12362
2005,2004,"A2_DCH1","Ζευγάρι με 1 παιδί",11278,12849
2005,2004,"TOTAL","Όλος ο πληθυσμός",9400,11086
2006,2005,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8700,10087
2006,2005,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",11467,13152
2006,2005,"A2_DCH1","Ζευγάρι με 1 παιδί",10889,13288
2006,2005,"TOTAL","Όλος ο πληθυσμός",9833,11579
2007,2006,"A1","Ένας ενήλικας μόνος (κάθε ηλικίας)",8700,10430
2007,2006,"A2_2LT65","Ζευγάρι <65 χωρίς παιδιά",11893,14304
