"survey_year","income_year","age","group","median","mean","median_vs_total_pct"
2015,2014,"TOTAL","Όλος ο πληθυσμός",7520,8683,0
2015,2014,"Y_LT65","Κάτω των 65",7423,8688,-1.28989361702128
2015,2014,"Y18-64","18–64",7632,8855,1.48936170212766
2016,2015,"TOTAL","Όλος ο πληθυσμός",7500,8673,0
2016,2015,"Y_LT65","Κάτω των 65",7333,8667,-2.22666666666667
2016,2015,"Y18-64","18–64",7590,8842,1.2
2017,2016,"TOTAL","Όλος ο πληθυσμός",7600,8800,0
2017,2016,"Y_LT65","Κάτω των 65",7525,8794,-0.986842105263153
2017,2016,"Y18-64","18–64",7717,8939,1.53947368421052
2018,2017,"TOTAL","Όλος ο πληθυσμός",7863,9034,0
2018,2017,"Y_LT65","Κάτω των 65",7835,9052,-0.356098181355713
2018,2017,"Y18-64","18–64",8030,9249,2.12387129594303
2019,2018,"TOTAL","Όλος ο πληθυσμός",8195,9382,0
2019,2018,"Y_LT65","Κάτω των 65",8200,9416,0.0610128126906639
2019,2018,"Y18-64","18–64",8450,9618,3.11165344722393
2020,2019,"TOTAL","Όλος ο πληθυσμός",8781,10041,0
2020,2019,"Y_LT65","Κάτω των 65",8777,10023,-0.0455528983031583
2020,2019,"Y18-64","18–64",9000,10241,2.49402118209772
2021,2020,"TOTAL","Όλος ο πληθυσμός",8752,9952,0
2021,2020,"Y_LT65","Κάτω των 65",8747,9915,-0.0571297989031105
2021,2020,"Y18-64","18–64",9038,10124,3.26782449725778
2022,2021,"TOTAL","Όλος ο πληθυσμός",9520,10832,0
2022,2021,"Y_LT65","Κάτω των 65",9624,10911,1.09243697478991
2022,2021,"Y18-64","18–64",9840,11123,3.36134453781514
2023,2022,"TOTAL","Όλος ο πληθυσμός",10050,11546,0
2023,2022,"Y_LT65","Κάτω των 65",10194,11700,1.43283582089553
2023,2022,"Y18-64","18–64",10437,11961,3.85074626865671
2024,2023,"TOTAL","Όλος ο πληθυσμός",10850,12391,0
2024,2023,"Y_LT65","Κάτω των 65",11060,12659,1.93548387096774
2024,2023,"Y18-64","18–64",11346,12936,4.57142857142858
2025,2024,"TOTAL","Όλος ο πληθυσμός",11700,13381,0
2025,2024,"Y_LT65","Κάτω των 65",12050,13749,2.99145299145298
2025,2024,"Y18-64","18–64",12500,14132,6.83760683760684
