"survey_year","income_year","p25","p50","p75","p75_p25","elstat_p25","elstat_p50","elstat_p75"
2015,2014,4924,7520,10860,2.2055239642567,4924,7520,10860
2016,2015,4930,7500,11000,2.23123732251521,4930,7500,11000
2017,2016,5187,7600,10993,2.11933680354733,5187,7600,10933
2018,2017,5373,7863,11200,2.08449655685837,5373,7863,11200
2019,2018,5700,8195,11625,2.03947368421053,5700,8195,11625
2020,2019,6080,8781,12367,2.03404605263158,6080,8781,12367
2021,2020,5947,8752,12308,2.06961493189844,5947,8752,12308
2022,2021,6533,9520,13375,2.04729833154753,6533,9520,13375
2023,2022,7030,10050,13850,1.9701280227596,7030,10050,13850
2024,2023,7480,10850,14705,1.96590909090909,7476,10615,14705
2025,2024,8150,11700,15900,1.95092024539877,8149,11697,15900
