survey_year,income_year,group_type,group,share_pct,upper_limit_eur
2025,2024,quintile,1,7.6,7110
2025,2024,quintile,2,13.2,10269
2025,2024,quintile,3,17.5,13184
2025,2024,quintile,4,22.3,17056
2025,2024,quintile,5,39.3,
2024,2023,quintile,1,7.5,6653
2024,2023,quintile,2,13.2,9513
2024,2023,quintile,3,17.5,12150
2024,2023,quintile,4,22.4,15960
2024,2023,quintile,5,39.5,
2023,2022,quintile,1,7.5,6280
2023,2022,quintile,2,13.2,8765
2023,2022,quintile,3,17.4,11351
2023,2022,quintile,4,22.5,14965
2023,2022,quintile,5,39.4,
2025,2024,quartile,1,10.5,8149
2025,2024,quartile,2,18.6,11697
2025,2024,quartile,3,25.5,15900
2025,2024,quartile,4,45.5,
2024,2023,quartile,1,10.3,7476
2024,2023,quartile,2,18.5,10615
2024,2023,quartile,3,25.5,14705
2024,2023,quartile,4,45.6,
2023,2022,quartile,1,10.4,7030
2023,2022,quartile,2,18.4,10050
2023,2022,quartile,3,25.6,13850
2023,2022,quartile,4,45.7,
2022,2021,quartile,1,10.3,6533
2022,2021,quartile,2,18.4,9520
2022,2021,quartile,3,26.0,13375
2022,2021,quartile,4,45.3,
2021,2020,quartile,1,9.6,5947
2021,2020,quartile,2,18.4,8752
2021,2020,quartile,3,26.2,12308
2021,2020,quartile,4,45.7,
2020,2019,quartile,1,10.3,6080
2020,2019,quartile,2,18.4,8781
2020,2019,quartile,3,26.0,12367
2020,2019,quartile,4,45.2,
2019,2018,quartile,1,10.4,5700
2019,2018,quartile,2,18.5,8195
2019,2018,quartile,3,26.2,11625
2019,2018,quartile,4,44.9,
2018,2017,quartile,1,10.0,5373
2018,2017,quartile,2,18.2,7863
2018,2017,quartile,3,25.8,11200
2018,2017,quartile,4,45.9,
2017,2016,quartile,1,9.3,5187
2017,2016,quartile,2,18.0,7600
2017,2016,quartile,3,26.1,10933
2017,2016,quartile,4,46.5,
2016,2015,quartile,1,8.9,4930
2016,2015,quartile,2,17.9,7500
2016,2015,quartile,3,26.0,11000
2016,2015,quartile,4,47.2,
2015,2014,quartile,1,8.9,4924
2015,2014,quartile,2,17.9,7520
2015,2014,quartile,3,26.0,10860
2015,2014,quartile,4,47.2,
