"time","geo","unit","statinfo","quant_inc","quant_inc_label","statinfo_label","unit_label","value","flag"
2008,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2009,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11,
2010,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2011,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,
2012,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2013,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2014,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2015,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2016,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2017,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,"e"
2018,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,"e"
2019,"EU","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,"e"
2010,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11,
2011,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,
2012,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2013,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,
2014,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2015,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2016,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,"e"
2017,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,"e"
2018,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,"e"
2019,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2020,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2021,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2022,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.1,
2023,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.2,
2024,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.2,
2025,"EU27_2020","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.3,
2010,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2011,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.8,
2012,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2013,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
2014,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,
2015,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,
2016,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.6,
2017,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,
2018,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,"e"
2019,"EU28","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.7,"e"
2005,"EU27_2007","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.1,"i"
2006,"EU27_2007","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",11.1,
2007,"EU27_2007","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.9,
