"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2008,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.01,
2009,"EU","RAT","T","TOTAL","Total","Total","Ratio",4.92,
2010,"EU","RAT","T","TOTAL","Total","Total","Ratio",4.94,
2011,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.03,
2012,"EU","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2013,"EU","RAT","T","TOTAL","Total","Total","Ratio",5,
2014,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.2,"e"
2015,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.22,"e"
2016,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.16,"e"
2017,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.08,"e"
2018,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.12,"e"
2019,"EU","RAT","T","TOTAL","Total","Total","Ratio",5.07,"e"
2010,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.89,
2011,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.99,
2012,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2013,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.05,
2014,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.22,"e"
2015,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.22,"e"
2016,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.16,"e"
2017,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.03,"e"
2018,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",5.05,"e"
2019,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.99,
2020,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.89,
2021,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2022,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.74,
2023,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.72,
2024,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.66,
2025,"EU27_2020","RAT","T","TOTAL","Total","Total","Ratio",4.62,
2010,"EU28","RAT","T","TOTAL","Total","Total","Ratio",4.94,
2011,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.03,
2012,"EU28","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2013,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5,
2014,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.2,
2015,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.22,
2016,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.16,
2017,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.08,
2018,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.12,
2019,"EU28","RAT","T","TOTAL","Total","Total","Ratio",5.07,"e"
2005,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.03,
2006,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",4.95,"i"
2007,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.02,
2008,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.01,
2009,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",4.92,
2010,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",4.94,
2011,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.03,
2012,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2013,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5,
2014,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.2,
2015,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.22,
2016,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.16,
2017,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.08,
2018,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.12,
2019,"EU27_2007","RAT","T","TOTAL","Total","Total","Ratio",5.08,"e"
2005,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.61,
2006,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.64,
2007,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.82,
2008,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.87,
2009,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.82,
2010,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.86,
2011,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2012,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.97,
2013,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.04,
2014,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.22,"e"
2015,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.16,"e"
2016,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.15,"e"
2017,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.05,"e"
2018,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.07,"e"
2019,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2020,"EA","RAT","T","TOTAL","Total","Total","Ratio",4.93,"b"
2021,"EA","RAT","T","TOTAL","Total","Total","Ratio",5.02,
2025,"EA21","RAT","T","TOTAL","Total","Total","Ratio",4.78,
2014,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.22,
2015,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.16,
2016,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.15,
2017,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.04,
2018,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.07,
2019,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2020,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.92,
2021,"EA20","RAT","T","TOTAL","Total","Total","Ratio",5.04,
2022,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.78,
2023,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.75,
2024,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.78,
2025,"EA20","RAT","T","TOTAL","Total","Total","Ratio",4.74,
2004,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5,
2005,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.65,
2006,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.68,
2007,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.84,
2008,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.87,
2009,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.85,
2010,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.9,
2011,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5,
2012,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2013,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.05,
2014,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.23,
2015,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.16,
2016,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.15,
2017,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.05,
2018,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.07,
2019,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.98,
2020,"EA19","RAT","T","TOTAL","Total","Total","Ratio",4.93,"b"
2021,"EA19","RAT","T","TOTAL","Total","Total","Ratio",5.02,
2004,"EA18","RAT","T","TOTAL","Total","Total","Ratio",5,
