"time","geo","statinfo","age","age_label","statinfo_label","value","flag"
2014,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.9,
2015,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.8,
2016,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2017,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.3,
2018,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.4,
2019,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.1,
2020,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30,"b"
2021,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.2,
2022,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.6,
2023,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.6,
2024,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.4,
2025,"EU27_2020","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.2,
2025,"EA21","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.9,
2014,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",31,
2015,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.7,
2016,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.7,
2017,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.4,
2018,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2019,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.2,
2020,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.2,"b"
2021,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",30.6,
2022,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.9,
2023,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,
2024,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.9,
2025,"EA20","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",29.8,
2014,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.9,
2015,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.2,
2016,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.3,
2017,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",26.1,
2018,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.7,
2019,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.1,"b"
2020,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",25.3,
2021,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",24.1,
2022,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",24.7,
2023,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",24.3,
2024,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",24.6,
2025,"BE","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",23.4,
2014,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",35.4,
2015,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37,
2016,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37.7,"b"
2017,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",40.2,
2018,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",39.6,
2019,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",40.8,
2020,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",40,
2021,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",39.7,
2022,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",38.4,
2023,"BG","GINI_HND","TOTAL","Total","Gini coefficient (scale from 0 to 100)",37.2,
