"time","geo","unit","statinfo","quant_inc","quant_inc_label","statinfo_label","unit_label","value","flag"
1995,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",3370,
1996,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",3617,
1997,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",3823,
1998,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4263,
1999,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4202,
2000,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4601,
2001,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4646,
2003,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5412,"b"
2004,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5908,
2005,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",6413,
2006,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",6540,
2007,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",6718,
2008,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",7280,
2009,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",8000,
2010,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",7976,
2011,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",7176,
2012,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5944,
2013,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5250,
2014,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4988,
2015,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4924,
2016,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",4930,
2017,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5187,
2018,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5373,
2019,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5700,
2020,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",6080,
2021,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",5947,
2022,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",6533,
2023,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",7030,
2024,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",7480,
2025,"EL","EUR","TC","Q1","First quartile","Top cut-off point","Euro",8150,
1995,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",2883,
1996,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",3255,
1997,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",3470,
1998,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",3917,
1999,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4128,
2000,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4453,
2001,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4646,
2003,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5412,"b"
2004,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5908,
2005,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",6413,
2006,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",6540,
2007,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",6718,
2008,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",7280,
2009,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",8000,
2010,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",7976,
2011,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",7176,
2012,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5944,
2013,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5250,
2014,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4988,
2015,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4924,
2016,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",4930,
2017,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5187,
2018,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5373,
2019,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5700,
2020,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",6080,
2021,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",5947,
2022,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",6533,
2023,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",7030,
2024,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",7480,
2025,"EL","NAC","TC","Q1","First quartile","Top cut-off point","National currency",8150,
1995,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",4337,
1996,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",4634,
1997,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",4747,
1998,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5150,
1999,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5243,
2000,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5862,
2001,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5931,
2003,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6749,"b"
2004,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6879,
2005,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7321,
2006,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7411,
2007,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7544,
2008,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",8110,
2009,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",8723,
2010,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",8400,
2011,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7596,
2012,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6288,
2013,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5673,
2014,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5634,
2015,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5763,
2016,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",5947,
2017,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6166,
2018,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6317,
2019,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6792,
2020,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7045,
2021,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",6739,
2022,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7440,
2023,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",7966,
2024,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",8574,
2025,"EL","PPS","TC","Q1","First quartile","Top cut-off point","Purchasing power standard (PPS)",9482,
1995,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
1996,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
1997,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
1998,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
1999,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
2000,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10,
2001,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10,
2003,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.1,"b"
2004,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.4,
2005,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.7,
2006,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.5,
2007,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.5,
2008,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.6,
2009,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.8,
2010,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.9,
2011,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.4,
2012,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",8.7,
2013,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",8.9,
2014,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9,
2015,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",8.9,
2016,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",8.9,
2017,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.3,
2018,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10,
2019,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.4,
2020,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.3,
2021,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",9.6,
2022,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.3,
2023,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.4,
2024,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.3,
2025,"EL","EUR","SHARE","Q1","First quartile","Share of national equivalised income","Euro",10.5,
1995,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
1996,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
1997,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
1998,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
1999,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
2000,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10,
2001,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10,
2003,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.1,"b"
2004,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.4,
2005,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.7,
2006,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.5,
2007,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.5,
2008,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.6,
2009,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.8,
2010,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.9,
2011,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.4,
2012,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.7,
2013,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2014,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9,
2015,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2016,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",8.9,
2017,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.3,
2018,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10,
2019,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.4,
2020,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2021,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",9.6,
2022,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2023,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.4,
2024,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.3,
2025,"EL","NAC","SHARE","Q1","First quartile","Share of national equivalised income","National currency",10.5,
