"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
1995,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",6180,
1996,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",6479,
1997,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",7066,
1998,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",7779,
1999,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",7601,
2000,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8119,
2001,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8262,
2003,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",9675,"b"
2004,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",10199,
2005,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",11149,
2006,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",11666,
2007,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",12130,
2008,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",12766,
2009,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",13505,
2010,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",13974,
2011,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",12626,
2012,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",10676,
2013,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",9303,
2014,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8879,
2015,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8683,
2016,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8673,
2017,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",8800,
2018,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",9034,
2019,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",9382,
2020,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",10041,
2021,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",9952,
2022,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",10832,
2023,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",11546,
2024,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",12391,
2025,"EL","EUR","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","Euro",13381,
1995,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",5287,
1996,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",5831,
1997,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",6412,
1998,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",7147,
1999,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",7467,
2000,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",7857,
2001,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",8262,
2003,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9675,"b"
2004,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",10199,
2005,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",11149,
2006,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",11666,
2007,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",12130,
2008,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",12766,
2009,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",13505,
2010,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",13974,
2011,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",12626,
2012,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",10676,
2013,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9303,
2014,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",8879,
2015,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",8683,
2016,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",8673,
2017,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",8800,
2018,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9034,
2019,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9382,
2020,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",10041,
2021,"EL","NAC","MEAN_EI","T","TOTAL","Total","Total","Mean equivalised income","National currency",9952,
