"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
1995,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",6180,
1996,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",6479,
1997,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",7066,
1998,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",7779,
1999,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",7601,
2000,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8119,
2001,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8262,
2003,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",9671,"b"
2004,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",10205,
2005,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",11086,
2006,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",11579,
2007,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",12031,
2008,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",12766,
2009,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",13484,
2010,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",13955,
2011,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",12599,
2012,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",10628,
2013,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",9316,
2014,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8884,
2015,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8691,
2016,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8682,
2017,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",8809,
2018,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",9049,
2019,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",9396,
2020,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",10044,
2021,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",9962,
2022,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",10840,
2023,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",11548,
2024,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",12407,
2025,"EL","EUR","MEAN_EI","TOTAL","Total","Mean equivalised income","Euro",13389,
1995,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",5287,
1996,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",5831,
1997,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",6412,
1998,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",7147,
1999,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",7467,
2000,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",7857,
2001,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",8262,
2003,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",9671,"b"
2004,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",10205,
2005,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",11086,
2006,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",11579,
2007,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",12031,
2008,"EL","NAC","MEAN_EI","TOTAL","Total","Mean equivalised income","National currency",12766,
