"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2003,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.38,"b"
2004,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.92,
2005,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.79,
2006,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.05,
2007,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2008,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.89,
2009,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.76,
2010,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.61,
2011,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.96,
2012,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.63,
2013,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.6,
2014,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.46,
2015,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.51,
2016,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.55,
2017,"EL","RAT","T","TOTAL","Total","Total","Ratio",6.11,
2018,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.51,
2019,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.11,
2020,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.23,
2021,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.79,
2022,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.2,
2023,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.28,
2024,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.27,
2025,"EL","RAT","T","TOTAL","Total","Total","Ratio",5.17,
2003,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.42,"b"
2004,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.79,
2005,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.73,
2006,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.08,
2007,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.92,
2008,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.95,
2009,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.77,
2010,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.56,
