"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2007,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.46,
2008,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.35,
2009,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.36,
2010,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.33,
2011,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.32,
2012,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.29,
2013,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.29,
2014,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.38,
2015,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.34,
2016,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.34,
2017,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.31,
2018,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.26,
2019,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.19,
2020,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.22,
2021,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.22,
2022,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.21,
2023,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.27,
2024,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.25,
2025,"EL","RAT","T","TOTAL","Total","Total","Ratio",2.23,
2007,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.43,
2008,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.32,
2009,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.35,
2010,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.31,
2011,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.32,
2012,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.32,
2013,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.33,
2014,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.4,
2015,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.39,
2016,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.37,
2017,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.31,
2018,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.28,
2019,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.18,
2020,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.19,
2021,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.2,
2022,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.21,
2023,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.26,
2024,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.27,
2025,"EL","RAT","M","TOTAL","Total","Males","Ratio",2.23,
2007,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.49,
2008,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.36,
2009,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.37,
2010,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.35,
2011,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.32,
2012,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.24,
2013,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.27,
2014,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.36,
2015,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.3,
2016,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.31,
2017,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.3,
2018,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.25,
2019,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.19,
2020,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.25,
2021,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.24,
2022,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.22,
2023,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.27,
2024,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.23,
2025,"EL","RAT","F","TOTAL","Total","Females","Ratio",2.25,
2007,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.46,
2008,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.35,
2009,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.37,
2010,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.33,
2011,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.31,
2012,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.32,
2013,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.37,
2014,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.46,
2015,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.45,
2016,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.45,
2017,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.38,
2018,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.32,
2019,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.23,
2020,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.25,
2021,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.24,
2022,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.24,
2023,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.31,
2024,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.3,
2025,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",2.26,
2007,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.42,
2008,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.34,
2009,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.36,
2010,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.3,
2011,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.28,
2012,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.33,
2013,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.38,
2014,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.47,
2015,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.47,
2016,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.49,
2017,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.39,
2018,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.35,
2019,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.23,
2020,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.21,
2021,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.21,
2022,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.23,
2023,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.28,
2024,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.3,
2025,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",2.23,
2007,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.47,
2008,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.36,
2009,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.38,
2010,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.34,
2011,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.3,
2012,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.3,
2013,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.37,
2014,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.45,
2015,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.39,
2016,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.41,
2017,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.37,
