"time","geo","age","sex","income","unit","statinfo","statinfo_label","unit_label","income_label","sex_label","age_label","value","flag"
2003,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2382,
2004,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2585,
2005,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2458,
2006,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2380,
2007,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2427,
2008,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2400,
2009,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2395,
2010,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2381,
2011,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2473,
2012,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2533,
2014,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2431,
2015,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2445,
2016,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2518,
2017,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2390,
2018,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2295,
2019,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2317,
2020,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2308,
2021,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2350,
2022,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2237,
2023,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",2024,
2024,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",1984,
2025,"EL","TOTAL","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Total",1865,
2003,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",432,
2004,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",508,
2005,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",475,
2006,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",463,
2007,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",428,
2008,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",399,
2009,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",397,
2010,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",392,
2011,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",417,
2012,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",427,
2014,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",415,
2015,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",375,
2016,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",400,
2017,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",374,
2018,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",334,
2019,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",329,
2020,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",330,
2021,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",325,
2022,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",310,
2023,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",261,
2024,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",247,
2025,"EL","Y_LT18","T","PC_GE130","THS_PER","MEAN","Mean income","Thousand persons","130 percent or over","Total","Less than 18 years",227,
