"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2015,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1364,
2016,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1392,
2017,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1295,
2018,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1139,
2019,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1042,
2020,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1014,
2021,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",1108,
2022,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",960,
2023,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",923,
2024,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",956,
2025,"EL","THS_PER","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Thousand persons",943,
1995,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",14,
1996,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13,
1997,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",15,
1998,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",14,
1999,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13,
2000,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",12,
2001,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",12,
2003,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",12.6,"b"
2004,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.4,
2005,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.7,
2006,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",11.7,
2007,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",11.5,
2008,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",11.2,
2009,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.4,
2010,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.4,
2011,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",11.4,
2012,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13,
2013,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13.7,
2014,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13.5,
2015,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",12.8,
2016,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",13.1,
2017,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",12.2,
2018,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.8,
2019,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9.9,
2020,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9.7,
2021,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",10.6,
2022,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9.3,
2023,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9,
2024,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9.4,
2025,"EL","PC","TOTAL","B_40","MEAN_EI","Mean equivalised income","Below 40%","Total","Percentage",9.3,
2015,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",56,
2016,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",52,
2017,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",48,
2018,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",46,
2019,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",41,
2020,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",44,
2021,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",54,
2022,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",48,
2023,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",70,
2024,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",74,
2025,"EL","THS_PER","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Thousand persons",78,
1995,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",19,
1996,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",15,
1997,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14,
1998,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",18,
1999,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",15,
2000,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",17,
2001,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",14,
2003,"EL","PC","M1","B_40","MEAN_EI","Mean equivalised income","Below 40%","One single male","Percentage",16.4,"b"
